Query date	Label	ID	Origin	Destination	Date	Price	Flight number	Flight string	Price Updated
2022-10-23 00:12:18	Navidad	5	TFS	PSA	2023-01-09T10:15:00	310.91	FR7477	FR~7477~ ~~TFS~01/09/2023 10:15~PSA~01/09/2023 15:25~~	1666423716000
2022-10-23 00:12:18	Palma	6	PSA	PMI	2023-04-03T08:00:00	70.99	FR1485	FR~1485~ ~~PSA~04/03/2023 08:00~PMI~04/03/2023 09:40~~	1666465896000
2022-10-23 00:12:18	Palma	7	PMI	PSA	2023-04-10T10:15:00	127.99	FR1486	FR~1486~ ~~PMI~04/10/2023 10:15~PSA~04/10/2023 11:55~~	1666467682000
2022-10-23 00:12:18	Palma	8	PSA	PMI	2023-04-06T06:05:00	80.99	FR1485	FR~1485~ ~~PSA~04/06/2023 06:05~PMI~04/06/2023 07:45~~	1666098701000
2022-10-23 00:12:18	Palma	9	PMI	PSA	2023-04-13T08:20:00	93.99	FR1486	FR~1486~ ~~PMI~04/13/2023 08:20~PSA~04/13/2023 10:00~~	1666098672000
2022-10-23 00:12:18	Palma	10	PSA	PMI	2023-04-20T06:05:00	51.99	FR1485	FR~1485~ ~~PSA~04/20/2023 06:05~PMI~04/20/2023 07:45~~	1666449704000
2022-10-23 00:12:18	Palma	11	PMI	PSA	2023-04-27T08:20:00	59.99	FR1486	FR~1486~ ~~PMI~04/27/2023 08:20~PSA~04/27/2023 10:00~~	1666360216000
2022-10-24 00:12:13	Navidad	1	PSA	TFS	2022-12-29T11:45:00	300.49	FR7476	FR~7476~ ~~PSA~12/29/2022 11:45~TFS~12/29/2022 15:15~~	1666510931000
2022-10-24 00:12:13	Navidad	2	PSA	TFS	2022-12-31T06:55:00	260.79	FR7476	FR~7476~ ~~PSA~12/31/2022 06:55~TFS~12/31/2022 10:25~~	1666510704000
2022-10-24 00:12:13	Navidad	3	TFS	PSA	2023-01-05T15:50:00	260.79	FR7477	FR~7477~ ~~TFS~01/05/2023 15:50~PSA~01/05/2023 21:00~~	1666509578000
2022-10-24 00:12:13	Navidad	4	TFS	PSA	2023-01-07T11:00:00	417.21	FR7477	FR~7477~ ~~TFS~01/07/2023 11:00~PSA~01/07/2023 16:10~~	1666509480000
2022-10-24 00:12:13	Navidad	5	TFS	PSA	2023-01-09T10:15:00	310.91	FR7477	FR~7477~ ~~TFS~01/09/2023 10:15~PSA~01/09/2023 15:25~~	1666510134000
2022-10-24 00:12:13	Palma	6	PSA	PMI	2023-04-03T08:00:00	69.99	FR1485	FR~1485~ ~~PSA~04/03/2023 08:00~PMI~04/03/2023 09:40~~	1666552294000
2022-10-24 00:12:13	Palma	7	PMI	PSA	2023-04-10T10:15:00	126.99	FR1486	FR~1486~ ~~PMI~04/10/2023 10:15~PSA~04/10/2023 11:55~~	1666554439000
2022-10-24 00:12:13	Palma	8	PSA	PMI	2023-04-06T06:05:00	80.99	FR1485	FR~1485~ ~~PSA~04/06/2023 06:05~PMI~04/06/2023 07:45~~	1666098701000
2022-10-24 00:12:13	Palma	9	PMI	PSA	2023-04-13T08:20:00	93.99	FR1486	FR~1486~ ~~PMI~04/13/2023 08:20~PSA~04/13/2023 10:00~~	1666098672000
